3338,3355,11
378,840,76
4840,2194,12
1911,490,82
3682,2119,91
1281,3443,10
3530,3092,38
2432,919,60
3290,4094,26
4130,79,26
1340,4542,53
4181,3401,64
2973,634,14
2147,1878,7
573,3883,80
2942,1902,66
4879,3488,14
2719,2189,73
2326,3745,32
1073,4452,4
4059,2798,13
2804,3779,95
1049,264,23
2656,2140,96
3832,4336,46
2332,32,89
3229,4148,37
1475,554,83
1636,4560,67
2865,1777,82
4078,1713,14
1007,4719,80
2465,4244,81
2290,2717,47
133,2242,63
4531,2855,89
3073,270,10
513,450,67
3622,4051,13
1342,11,34
3324,2540,42
4948,241,49
4439,801,57
3860,1516,32
3373,2,34
3049,269,5
3364,332,37
3085,4212,32
4728,4664,17
448,4820,73
2359,3534,16
3985,3861,96
1268,117,82
198,2925,46
2434,84,77
1905,2619,92
3444,283,66
4258,442,48
1537,1018,54
1802,3525,61
4842,3395,61
2228,2562,58
621,2949,68
4757,856,12
4938,503,48
297,1119,58
1074,724,44
3832,2640,18
528,1093,80
3546,2100,14
3017,421,66
4717,2516,74
2512,405,78
2658,3912,89
4781,4634,80
2166,3092,9
2867,1003,78
629,3676,33
3286,2549,38
2245,4745,54
2254,4769,88
2150,584,0
2189,545,78
4033,4841,44
4999,3557,8
1915,4845,46
1197,690,64
529,2177,48
3969,1984,7
4788,2838,18
488,100,67
1439,3784,60
4163,1014,38
4069,2030,71
4662,769,47
4728,57,84
671,2356,88
2205,4372,6
2407,2021,40
674,1066,62
2375,625,34
628,114,69
2169,2347,43
1415,1642,33
3873,2464,71
1687,47,29
4961,353,5
445,4412,86
4823,4500,60
491,1052,66
2593,3014,98
4428,2632,74
3017,4572,61
2251,1904,21
1240,1934,7
949,4833,28
4994,2730,80
1542,4251,50
3599,277,68
253,2243,72
1804,4088,1
3914,1459,61
2441,3773,71
4647,58,5
4796,4376,17
515,2237,77
1534,4630,78
3402,1670,77
1271,690,1
1195,1910,68
3369,3139,100
3601,40,94
3105,323,95
3122,1918,45
1799,3260,76
2458,3445,1
4021,4174,78
925,1235,40
1810,4050,27
2573,174,94
1942,3342,68
3555,3852,20
4992,712,16
627,2242,54
4111,349,13
3705,1281,47
2610,1533,21
2269,4569,27
1845,3637,68
4033,4982,95
4308,2740,12
777,3873,14
3000,3614,64
3535,381,21
1972,3928,63
4068,1029,29
2582,385,75
2249,28,5
2913,4011,65
245,2377,68
4710,550,46
3276,50,66
1260,4772,70
4736,2570,16
2863,2778,86
3970,2477,97
3785,380,7
868,2459,50
1808,2748,84
1694,3166,91
2185,2980,61
2456,948,14
3419,2923,1
2342,1920,42
969,3278,77
4866,4730,56
4265,1506,3
975,2941,53
4997,285,93
1436,1492,34
3825,4511,81
1772,4164,93
1871,419,17
3342,2317,19
3938,4621,57
2800,1955,31
2583,739,29
1762,4272,1
4868,3543,37
4450,2443,34
120,4508,71
227,4641,17
56,1512,69
3505,4581,11
898,4123,29
319,2958,18
4933,377,87
2934,4809,100
2202,2156,85
1766,2135,16
3851,4515,68
4994,1683,62
118,2467,17
4626,1082,5
716,3783,1
917,4122,73
3913,764,43
360,2354,93
3802,2752,74
1524,871,96
888,3711,77
3302,4595,77
4530,201,77
3692,2725,64
2303,1740,91
4523,3170,72
1843,522,3
2839,2883,41
611,4390,76
2423,2374,10
1140,1522,53
3765,4410,100
1420,3207,41
1322,4920,71
3337,2065,36
963,1509,75
3262,4926,10
3694,3192,72
4719,3799,29
263,2807,92
1497,790,9
312,2409,44
532,769,43
3148,2494,99
3783,3157,2
792,4635,5
424,3611,66
1647,128,1
4681,1910,17
4454,490,38
1138,4282,77
1249,312,8
2549,4649,33
511,4242,62
2059,4580,48
3270,1992,32
1451,2376,65
2771,88,20
2731,2149,82
4868,2911,45
635,2491,30
3541,1527,59
3032,2738,48
1324,3331,62
257,3763,85
384,3936,41
4747,2387,89
1989,835,18
932,2882,79
1259,4894,42
2979,3389,40
